Avg Cost Per Mile,Avg Customer Revenue,Carrier,Cost Per Mile,Fiscal Month,Fiscal Year,Fiscal Quarter,Lost Revenue,Parts Cost,Parts Count,Region,Type,WW Area
0.95212766,$537 ,ADRIA AIRWAYS,$1 ,Jul,FY-2015,Q1,$0 ,$483 ,1,Corporate Office,Premium,Corporate Office
1.602893891,$997 ,ADRIA AIRWAYS,$2 ,Jul,FY-2015,Q1,$0 ,$897 ,1,LOCAL,Freight,Central and Eastern Europe
0.287008854,"$1,037 ",ADRIA AIRWAYS,$0 ,Jul,FY-2015,Q1,$3 ,"$3,734 ",4,LOCAL,Premium,Central and Eastern Europe
0.296280642,$701 ,ADRIA AIRWAYS,$0 ,Aug,FY-2015,Q1,$0 ,$631 ,1,Corporate Office,Budget,Corporate Office
1.440540541,$533 ,ADRIA AIRWAYS,$1 ,Aug,FY-2015,Q1,$0 ,$480 ,1,Corporate Office,Premium,Corporate Office
0.902702703,$167 ,ADRIA AIRWAYS,$1 ,Aug,FY-2015,Q1,$0 ,$150 ,1,LOCAL,Domestic,Central and Eastern Europe
0.255949087,$925 ,ADRIA AIRWAYS,$0 ,Aug,FY-2015,Q1,$0 ,$833 ,1,LOCAL,Freight,Central and Eastern Europe
0.25459897,$750 ,ADRIA AIRWAYS,$0 ,Aug,FY-2015,Q1,$35 ,"$4,048 ",6,LOCAL,Premium,Central and Eastern Europe
0.305156382,$361 ,ADRIA AIRWAYS,$0 ,Sep,FY-2015,Q1,$0 ,$325 ,1,Corporate Office,Domestic,Corporate Office
0.289655172,$84 ,ADRIA AIRWAYS,$0 ,Sep,FY-2015,Q1,$0 ,$76 ,1,Corporate Office,Premium,Corporate Office
0.256973795,$304 ,ADRIA AIRWAYS,$0 ,Sep,FY-2015,Q1,$0 ,$274 ,1,LOCAL,Budget,Central and Eastern Europe
2.1875,$350 ,ADRIA AIRWAYS,$2 ,Sep,FY-2015,Q1,$0 ,$315 ,1,LOCAL,Domestic,Central and Eastern Europe
0.403154154,$605 ,ADRIA AIRWAYS,$0 ,Sep,FY-2015,Q1,$0 ,"$1,634 ",3,LOCAL,Premium,Central and Eastern Europe
0.812068966,$471 ,ADRIA AIRWAYS,$1 ,Oct,FY-2015,Q2,$54 ,$424 ,1,Corporate Office,Budget,Corporate Office
0.918918919,$476 ,ADRIA AIRWAYS,$1 ,Oct,FY-2015,Q2,$1 ,$428 ,1,Corporate Office,Premium,Corporate Office
